ID,名称,科目,日期,重要性,掌握程度,类型
ec19c41e-4e80-43c9-8dca-70fbe52f04ce,Final Review,Physics,2026-09-27 13:30:07,3,41,单科
4259ac50-8b1c-4e3c-969a-be0e96f0cb64,月考,Mathematics,2026-09-16 13:30:07,4,65,单科
2faca665-8d74-4ba6-b73d-c7499453a10a,Practice Test,Mathematics,2026-07-01 13:30:07,2,37,单科
82802543-59a2-446d-9349-0946acc6ef11,Quiz 1,Music,2026-08-20 13:30:07,1,31,单科
7df97e45-b464-4b0a-93dc-aad686c47acc,Final Revision Quiz,Biology,2026-11-03 13:30:07,5,29,单科
1aefad8e-3419-4127-addb-f24acf38d790,期末复习,Music,2026-07-27 13:30:07,3,75,单科
8026364b-2412-4d18-a3e4-efe90adb328c,Final Revision Quiz,Mathematics,2026-07-10 13:30:07,5,73,单科
ae76142d-0872-4af7-bc93-754d619df942,Practice Test,Mathematics,2026-07-08 13:30:07,2,81,单科
44e835dc-fb81-4f44-bb2e-336674f5b846,Quiz 1,Mathematics,2026-09-09 13:30:07,3,62,单科
159434d2-8e6f-4ccd-90d1-01724d1852d6,期中考试,Chinese,2026-07-25 13:30:07,1,18,单科
64111044-4de4-4680-b8f0-c00a7bd5f211,期末考试,English,2026-09-22 13:30:07,2,48,单科
3c9433f9-00cc-4c81-8d24-cab46f92edd1,Mock Exam 2,English,2026-12-19 13:30:07,3,68,单科
7413ba2e-0099-436e-9566-cc29c0cdcfca,期中考试,Politics,2026-08-27 13:30:07,3,85,单科
b4f7c60c-1dc4-4645-93c2-2ef9208a5961,Mock Exam,History,2026-09-21 13:30:07,1,28,单科
66e38eac-0d8c-4e37-8b29-c9d85ebc1943,Quarterly Exam,Geography,2026-11-16 13:30:07,1,61,单科
9b91ae0d-7311-4e74-bb0e-8a4fe6ff2f3c,期末考试,Physics,2026-07-01 13:30:07,1,46,单科
